"DepRate"	"D1"	"D2"	"D3"	"D4"	"D5"	"D6"	"D7"	"D8"	"KerFeed"	"KerTemp"	"WaterLev"	"BrineLev"	"WaterpH"	"WCBootLev"	"ECPdP"	"ECPLev"	"ReactorIP"	"ReactordP"	"ReactorCauLev"	"ClaydP"	"ClayOP"
"1098"	7.4881	0	0	0	0	0	1	0	0	-0.093213824	0.80793943	1.01651192	-0.619842904	1.68955238	0.135244454	0.124406325	0.254415359	0.187937693	-0.442259332	-0.184145607	0.269272258	0.389777804
"1102"	8.2027	0	0	0	0	0	1	0	0	0.100517048	1.394224563	1.218126018	-0.63273417	-0.2415773	0.242616036	0.399300824	0.255397993	0.486823358	-0.418500892	0.702450508	0.342395864	0.693466958
"1110"	10.828	0	0	0	0	0	1	0	0	0.807464792	0.320826907	0.508977206	-0.088208145	1.90412325	0.142789485	0.399300824	0.256380627	0.42592465	-0.250323166	0.343982733	1.556175322	0.186845805
"1115"	9.8138	0	0	0	0	0	1	0	0	0.535561813	1.184211978	1.062500945	-0.162614243	-0.027008468	-0.180486035	0.536748073	0.259328529	0.339211194	-0.289030738	0.907213258	1.209381191	0.204870703
"1132"	7.2479	0	0	0	0	0	1	0	0	-0.157790782	0.522088968	1.102308274	-0.474821096	-0.2415773	0.260027644	0.538122546	0.260311163	0.235581431	-0.441458486	-0.282538097	0.532082842	0.391144861
"1134"	7.8129	0	0	0	0	0	1	0	0	-0.004845356	0.405415309	1.297510172	-0.482428194	0.187562402	0.156718771	0.538122546	-0.420654187	0.09955578	-0.423572918	0.18336364	0.713081866	0.149277057
"1151"	7.5985	0	0	0	0	0	1	0	0	-0.062624739	1.198796186	1.003708475	-0.625975961	-0.885287873	0.408026311	0.538122546	0.260311163	0.263018291	-0.431581381	1.693289478	0.753987646	0.338842277
"1162"	0.2349	0	0	0	0	0	0	1	0	-2.050915269	-0.277125592	0.052279084	4.013892731	-0.2415773	0.554283818	-2.234188474	-0.617180984	-0.559114256	-0.723623336	-1.257953379	-1.628683511	-1.661566988
"1164"	7.8621	0	0	0	0	0	0	1	0	-0.167987143	0.988783601	1.83425602	-0.26523767	-1.099858743	0.224624042	0.813017044	0.260311163	0.024799604	-0.08668357	-1.16009274	0.090445222	0.288159909
"1168"	9.3483	0	0	0	0	0	0	1	0	0.19568309	1.120041466	0.573469409	-0.12461824	0.187562402	0.20605166	0.814391517	-4.697077285	0.149192397	-0.120052167	0.240271729	0.148726908	0.288058646
"1189"	8.8628	0	0	0	0	0	0	1	0	0.076725537	1.152126722	0.599418563	-0.106219067	-0.027008468	0.272796157	0.813017044	-0.464872717	0.226822028	-0.169437689	-0.809070883	-0.106119718	0.28876749
"1190"	9.0988	0	0	0	0	0	0	1	0	0.13450492	1.120041466	1.114168749	-0.11772184	0.187562402	0.163683414	0.813017044	-0.891335866	0.204993039	-0.231903701	-0.18520931	0.020941597	0.288413068
