"obs"	"leverage"	"rstudent"	"color"	"fct_color"	"txt"
"231"	231	0.0160542977618042	-0.295234031892973	"normal"	"normal"	NA
"232"	232	0.018497290257526	-0.437903762849616	"normal"	"normal"	NA
"233"	233	0.0184848269744341	-0.14304052260944	"normal"	"normal"	NA
"234"	234	0.0179497811919591	-0.0264354902708677	"normal"	"normal"	NA
"235"	235	0.0203756481903791	-0.025647204250104	"normal"	"normal"	NA
"236"	236	0.0202060183591918	-0.0359141632604903	"normal"	"normal"	NA
"237"	237	0.0212197772620784	-0.149346129167591	"normal"	"normal"	NA
"238"	238	0.0220570679026007	-0.360367369374499	"normal"	"normal"	NA
"239"	239	0.0224332179383562	-0.890883642564566	"normal"	"normal"	NA
"240"	240	0.0236844818263096	-0.812213746308186	"normal"	"normal"	NA
"241"	241	0.0202310348055846	-1.04151254653557	"normal"	"normal"	NA
"242"	242	0.0236157175763779	-0.694175157919932	"normal"	"normal"	NA
"243"	243	0.0208517000327305	-0.958555561899403	"normal"	"normal"	NA
"244"	244	0.0210209718667487	-0.167073765620959	"normal"	"normal"	NA
"245"	245	0.016648962354235	0.524139911572448	"normal"	"normal"	NA
"246"	246	0.0206398045462165	0.625529137560637	"normal"	"normal"	NA
"247"	247	0.0662685409321595	3.96961212716173	"outlier & leverage"	"outlier & leverage"	247
"248"	248	0.145805575376162	-3.81309056771087	"outlier & leverage"	"outlier & leverage"	248
"249"	249	0.0298322316230548	2.06349424911628	"outlier"	"outlier"	249
"250"	250	0.028793464662855	1.86854525689317	"normal"	"normal"	NA
"251"	251	0.0152307911307063	1.23510081392936	"normal"	"normal"	NA
"252"	252	0.0304254330842593	0.0934239273965032	"normal"	"normal"	NA
"253"	253	0.0282951214931418	-0.0603323917923008	"normal"	"normal"	NA
"254"	254	0.0310719576311968	-0.0671016273509802	"leverage"	"leverage"	254
"255"	255	0.0304056924615027	-0.166970279213943	"normal"	"normal"	NA
"256"	256	0.0175747280486721	0.0607526271590982	"normal"	"normal"	NA
"257"	257	0.0105574288713475	0.535386250593287	"normal"	"normal"	NA
"258"	258	0.0113969433237802	0.539922087298027	"normal"	"normal"	NA
"259"	259	0.0108770163629197	0.508492103952041	"normal"	"normal"	NA
"260"	260	0.0108217310482339	0.403918117471829	"normal"	"normal"	NA
"261"	261	0.0129625300928748	-0.0879464463612955	"normal"	"normal"	NA
"262"	262	0.0135074781971261	-0.217012181636645	"normal"	"normal"	NA
"263"	263	0.0135378787817473	-0.51110233346736	"normal"	"normal"	NA
"264"	264	0.0122729922912133	-0.364475009157875	"normal"	"normal"	NA
"265"	265	0.0131789435953227	-0.471571861500735	"normal"	"normal"	NA
"266"	266	0.0133779830583703	0.471076422479584	"normal"	"normal"	NA
"267"	267	0.0137219380949591	0.936612692143477	"normal"	"normal"	NA
"268"	268	0.0139476220296197	0.943416367393225	"normal"	"normal"	NA
"269"	269	0.0151079507373087	0.791639041221217	"normal"	"normal"	NA
"270"	270	0.0130609250740592	1.04621688405699	"normal"	"normal"	NA
"271"	271	0.0119661842714241	1.26900061585359	"normal"	"normal"	NA
"272"	272	0.0130037832406163	1.01995033533186	"normal"	"normal"	NA
"273"	273	0.0124493884203281	1.06578668333064	"normal"	"normal"	NA
"274"	274	0.0127980516480873	0.892471032979023	"normal"	"normal"	NA
"275"	275	0.0123000210877885	0.925278416071783	"normal"	"normal"	NA
"276"	276	0.0117825435401405	0.914297495132765	"normal"	"normal"	NA
"277"	277	0.0115922725800974	0.871701077613163	"normal"	"normal"	NA
"278"	278	0.0116295646077593	0.880768457919753	"normal"	"normal"	NA
"279"	279	0.0106966949500329	0.850667456248896	"normal"	"normal"	NA
"280"	280	0.0155826158699824	0.559596166123097	"normal"	"normal"	NA
"281"	281	0.00972376915349344	-0.0172616587241519	"normal"	"normal"	NA
"282"	282	0.0110580607596085	0.127880168091331	"normal"	"normal"	NA
"283"	283	0.0113373569081237	0.340483165662687	"normal"	"normal"	NA
"284"	284	0.00873098629652855	0.441317541937446	"normal"	"normal"	NA
"285"	285	0.0107167924665508	0.805420051852278	"normal"	"normal"	NA
"286"	286	0.0104085050417153	0.845948059909448	"normal"	"normal"	NA
