DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
7.1524,1,0,0,0,0,0,0,0,5.0122,31.2761,28.5052,60.6485,12.19999981,10.88,20,79.99,717.45,12.03,64.39,29.31,749.99,-1.425257528,-1.18007193,-1.255291209,2.474817087,0.738408265,-3.173047495,-0.217210622,0.091337978,-0.418076545,-0.659094301,0.73573879,-1.062413755,1.344061518
7.3349,1,0,0,0,0,0,0,0,5.14,31.4391,27.7473,58.1814,12.19999981,11,20,80,718.64,12.25,64.82,29.93,750.02,-1.344138553,-1.128941259,-1.319454286,2.177121003,0.738408265,-3.16225013,-0.217210622,0.09281933,-0.403923475,-0.641037853,0.768592461,-1.035085515,1.344547329
7.4443,1,0,0,0,0,0,0,0,5.2167,30.9594,27.4444,60.6451,12.19999981,11.36,20,80,719.37,12.28,68.94,30.55,750.03,-1.295454473,-1.279416002,-1.345097505,2.474406822,0.738408265,-3.129858034,-0.217210622,0.09281933,-0.39524134,-0.63857561,1.083376474,-1.007757276,1.344709266
7.3917,1,0,0,0,0,0,0,0,5.1798,31.0228,26.9078,58.3061,12.19999981,11.91,20,80.02,718.94,11.88,73.44,30.54,750.04,-1.318876149,-1.259528366,-1.390525539,2.192168103,0.738408265,-3.080370111,-0.217210622,0.095782034,-0.400355474,-0.671405516,1.427193963,-1.008198054,1.344871203
7.3148,1,0,0,0,0,0,0,0,5.126,30.4925,27.1347,59.0477,12.19999981,12.77,20,80,719.45,11.75,76.31,31.34,750,-1.353024826,-1.425875575,-1.371316406,2.281654308,0.738408265,-3.002988994,-0.217210622,0.09281933,-0.394289873,-0.682075235,1.646473118,-0.972935809,1.344223455
7.465,1,0,0,0,0,0,0,0,5.2312,31.0161,25.6309,60.4559,12.19999981,12.02,20,79.99,720.27,11.74,78.23,31.82,749.99,-1.286250833,-1.261630057,-1.498626651,2.451576738,0.738408265,-3.070472526,-0.217210622,0.091337978,-0.384537337,-0.682895983,1.79316858,-0.951778463,1.344061518
8.6339,1,0,0,0,0,0,0,0,6.0504,30.5327,21.5105,59.6941,12.19999981,10.18,20,80,726.78,13.07,64.28,34,750.18,-0.766276932,-1.413265434,-1.847455706,2.359653072,0.738408265,-3.236032125,-0.217210622,0.09281933,-0.30711172,-0.573736546,0.727334362,-0.855688847,1.347138324
10.9418,1,0,0,0,0,0,0,0,7.6677,31.1197,27.6302,59.5298,12.19999981,32.8,20,79.99,746.77,16.3,36.39,44.15,750.03,0.26027799,-1.22913228,-1.329367858,2.339827582,0.738408265,-1.200728794,-0.217210622,0.091337978,-0.069363933,-0.308635056,-1.403570035,-0.40829912,1.344709266
11.0848,1,0,0,0,0,0,0,0,7.7678,31.2427,36.1412,59.4204,12.19999981,42.06,20,80,746.81,16.18,37.6,43.16,750.11,0.32381484,-1.190549013,-0.608834878,2.326626677,0.738408265,-0.367532117,-0.217210622,0.09281933,-0.068888199,-0.318484028,-1.311121332,-0.451936148,1.346004763
10.924,1,0,0,0,0,0,0,0,7.6552,31.5347,31.9399,59.5347,12.19999981,58.52,20,80,744.99,15.73,38.52,41.96,750.02,0.252343818,-1.098952963,-0.964512849,2.340418847,0.738408265,1.11350647,-0.217210622,0.09281933,-0.090534071,-0.355417672,-1.240829756,-0.504829514,1.344547329
11.0442,1,0,0,0,0,0,0,0,7.7394,30.4527,30.9212,59.2995,12.19999981,48.19,20,80.01,748.28,16.24,40.06,43.75,750.04,0.305788401,-1.438360242,-1.050755,2.312038109,0.738408265,0.184033286,-0.217210622,0.094300682,-0.051404995,-0.313559542,-1.123167771,-0.425930242,1.344871203
10.8107,1,0,0,0,0,0,0,0,7.5758,30.5132,28.4911,59.354,12.19999981,49.45,20,80.01,747.33,15.93,41.19,43.45,749.92,0.201945957,-1.419382294,-1.256484901,2.318614428,0.738408265,0.29740562,-0.217210622,0.094300682,-0.062703665,-0.339002719,-1.036831379,-0.439153584,1.342927957
